title,provider,subject,school,language,course_hours,session,course_length(weeks along),review count interval(강의시작일 + 강의수업길이 + 1분기<3개월>),review_count (from session start to the interval),total_review_count,total_review_average,pace,certification_available,url,description
Water Resources Management and Policy,Coursera,Environmental Science,University of Geneva,English,null,2016-07-04,5,2016-11-08,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/5319/coursera-water-resources-management-and-policy,"In this four week course, you’ll learn how to implement low-latency and streaming Big Data solutions using Hadoop technologies like HBase, Storm, and Spark on Microsoft Azure HDInsight.

Note: To complete the hands-on elements in this course, you will require an Azure subscription and a Windows, Linux, or Mac OS X client computer. You can sign up for a free Azure trial subscription (a valid credit card is required for verification, but you will not be charged for Azure services). Note that the free trial is not available in all regions. It is possible to complete the course and earn a certificate without completing the hands-on practices.

This course is the second in a series that explores big data and advanced analytics techniques with HDInsight; and builds on the batch processing techniques learned in DAT202.1x: Processing Big Data with Hadoop in Azure HDInsight."
Converter Control,Coursera,Electrical Engineering,University of Colorado Boulder,English,null,2016-07-04,4,2016-11-01,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/5415/coursera-converter-control,"In this four week course, you’ll learn how to implement low-latency and streaming Big Data solutions using Hadoop technologies like HBase, Storm, and Spark on Microsoft Azure HDInsight.

Note: To complete the hands-on elements in this course, you will require an Azure subscription and a Windows, Linux, or Mac OS X client computer. You can sign up for a free Azure trial subscription (a valid credit card is required for verification, but you will not be charged for Azure services). Note that the free trial is not available in all regions. It is possible to complete the course and earn a certificate without completing the hands-on practices.

This course is the second in a series that explores big data and advanced analytics techniques with HDInsight; and builds on the batch processing techniques learned in DAT202.1x: Processing Big Data with Hadoop in Azure HDInsight."
Advanced Content and Social Tactics to Optimize SEO,Coursera,Marketing,"University of California, Davis",English,null,2016-07-04,4,2016-11-01,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/5535/coursera-advanced-content-and-social-tactics-to-optimize-seo,"Roughly half of the world’s population is already online and so setting yourself apart from the crowd (standing out in a crowd) is more important than ever before. This course is designed to help you get online and for others to remember you. You will learn the different uses of online tools, the similarities and differences between them and the vocabulary associated with each tool. You will learn how to set up Linkedin, Twitter and Facebook accounts for professional use. You will learn how to promote yourself online and network with others using these tools and other online tools including websites, portfolios, youtube and online flyers as well as local tools that are more specific to a certain country or region.

By the end of this course, you will be able to

? Understand the basic functions of each online tool
? Set up a professional account for several tools
? Discover ways to promote yourself and network online
? Learn common language for promoting yourself and networking on each tool"
Search Engine Optimization Fundamentals,Coursera,Marketing,"University of California, Davis",English,null,2016-07-04,4,2016-11-01,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/5484/coursera-search-engine-optimization-fundamentals,"In this four week course, you’ll learn how to implement low-latency and streaming Big Data solutions using Hadoop technologies like HBase, Storm, and Spark on Microsoft Azure HDInsight.

Note: To complete the hands-on elements in this course, you will require an Azure subscription and a Windows, Linux, or Mac OS X client computer. You can sign up for a free Azure trial subscription (a valid credit card is required for verification, but you will not be charged for Azure services). Note that the free trial is not available in all regions. It is possible to complete the course and earn a certificate without completing the hands-on practices.

This course is the second in a series that explores big data and advanced analytics techniques with HDInsight; and builds on the batch processing techniques learned in DAT202.1x: Processing Big Data with Hadoop in Azure HDInsight."
International Entertainment and Sports Marketing,Coursera,Marketing,Yonsei University,English,null,2016-07-04,3,2016-10-25,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/5491/coursera-international-entertainment-and-sports-marketing,"In this four week course, you’ll learn how to implement low-latency and streaming Big Data solutions using Hadoop technologies like HBase, Storm, and Spark on Microsoft Azure HDInsight.

Note: To complete the hands-on elements in this course, you will require an Azure subscription and a Windows, Linux, or Mac OS X client computer. You can sign up for a free Azure trial subscription (a valid credit card is required for verification, but you will not be charged for Azure services). Note that the free trial is not available in all regions. It is possible to complete the course and earn a certificate without completing the hands-on practices.

This course is the second in a series that explores big data and advanced analytics techniques with HDInsight; and builds on the batch processing techniques learned in DAT202.1x: Processing Big Data with Hadoop in Azure HDInsight."
Coaching Practices,Coursera,Management & Leadership,"University of California, Davis",English,null,2016-07-04,4,2016-11-01,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/5496/coursera-coaching-practices,"Roughly half of the world’s population is already online and so setting yourself apart from the crowd (standing out in a crowd) is more important than ever before. This course is designed to help you get online and for others to remember you. You will learn the different uses of online tools, the similarities and differences between them and the vocabulary associated with each tool. You will learn how to set up Linkedin, Twitter and Facebook accounts for professional use. You will learn how to promote yourself online and network with others using these tools and other online tools including websites, portfolios, youtube and online flyers as well as local tools that are more specific to a certain country or region.

By the end of this course, you will be able to

? Understand the basic functions of each online tool
? Set up a professional account for several tools
? Discover ways to promote yourself and network online
? Learn common language for promoting yourself and networking on each tool"
Script Writing: Write a Pilot Episode for a TV or Web Series (Project-Centered Course),Coursera,Film & Theatre,Michigan State University,English,null,2016-07-04,5,2016-11-08,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/5718/coursera-script-writing-write-a-pilot-episode-for-a-tv-or-web-series-project-centered-course,"In this college level Algebra course, you will learn to apply algebraic reasoning to solve problems effectively. You’ll develop skills in linear and quadratic functions, general polynomial functions, rational functions, and exponential and logarithmic functions. You will also study systems of linear equations. This course will emphasize problem-solving techniques, specifically by means of discussing concepts in each of these topics.

Content in this course will be adaptive, allowing you to achieve mastery in a certain concept before moving on to the next. Utilizing the ALEKS learning system, students in this personalized, self-paced course will be instructed on the topics they are most ready to learn while also providing individualized coaching as you move through each topic.

This 3 credit hour course satisfies the Mathematical Studies (MA) general studies requirement at Arizona State University. This course may satisfy a general education requirement at other institutions; however, it is strongly encouraged that you consult with your institution of choice to determine how these credits will be applied to their degree requirements prior to transferring the credit."
"C++ For C Programmers, Part A",Coursera,Programming,"University of California, Santa Cruz",English,null,2016-07-04,5,2016-11-08,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/5794/coursera-c-for-c-programmers-part-a,"In this college level Algebra course, you will learn to apply algebraic reasoning to solve problems effectively. You’ll develop skills in linear and quadratic functions, general polynomial functions, rational functions, and exponential and logarithmic functions. You will also study systems of linear equations. This course will emphasize problem-solving techniques, specifically by means of discussing concepts in each of these topics.

Content in this course will be adaptive, allowing you to achieve mastery in a certain concept before moving on to the next. Utilizing the ALEKS learning system, students in this personalized, self-paced course will be instructed on the topics they are most ready to learn while also providing individualized coaching as you move through each topic.

This 3 credit hour course satisfies the Mathematical Studies (MA) general studies requirement at Arizona State University. This course may satisfy a general education requirement at other institutions; however, it is strongly encouraged that you consult with your institution of choice to determine how these credits will be applied to their degree requirements prior to transferring the credit."
Business Model Canvas: A Tool for Entrepreneurs and Innovators (Project-Centered Course),Coursera,Entrepreneurship,University System of Georgia,English,null,2016-07-04,8,2016-11-29,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/5713/coursera-business-model-canvas-a-tool-for-entrepreneurs-and-innovators-project-centered-course,"In this college level Algebra course, you will learn to apply algebraic reasoning to solve problems effectively. You’ll develop skills in linear and quadratic functions, general polynomial functions, rational functions, and exponential and logarithmic functions. You will also study systems of linear equations. This course will emphasize problem-solving techniques, specifically by means of discussing concepts in each of these topics.

Content in this course will be adaptive, allowing you to achieve mastery in a certain concept before moving on to the next. Utilizing the ALEKS learning system, students in this personalized, self-paced course will be instructed on the topics they are most ready to learn while also providing individualized coaching as you move through each topic.

This 3 credit hour course satisfies the Mathematical Studies (MA) general studies requirement at Arizona State University. This course may satisfy a general education requirement at other institutions; however, it is strongly encouraged that you consult with your institution of choice to determine how these credits will be applied to their degree requirements prior to transferring the credit."
Parallel programming,Coursera,Programming,?cole Polytechnique F?d?rale de Lausanne,English,null,2016-07-04,4,2016-11-01,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/5960/coursera-parallel-programming,"Want to create the next big app, grounded in the needs of real users? Mobile Application Experiences Part 4: Understanding Use will teach you Human Computer Interaction (HCI) methods to understand current behavior in the domain, and then design, develop, and deploy your new application.

This module will explore how people use your mobile application in daily life, over an extended period of time.  You will deploy and run quantitative and qualitative studies of use to understand not only what users are doing, but how and why they are using your application the way that they are.

This course is part of a five-part Mobile Application Experiences series:

21W.789.1x: Mobile Application Experiences Part 1: From a Domain to an App Idea
21W.789.2x: Mobile Application Experiences Part 2: Mobile App Design
21W.789.3x: Mobile Application Experiences Part 3: Building Mobile Apps
21W.789.4x: Mobile Application Experiences Part 4: Understanding Use
21W.789.5x: Mobile Application Experiences Part 5: Reporting Research Findings"
Market Research and Consumer Behavior,Coursera,Marketing,IE Business School,English,null,2016-07-04,4,2016-11-01,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/6204/coursera-market-research-and-consumer-behavior,"The Internet of Things is rapidly growing. It is predicted that more than 25 billion devices will be connected by 2020.

In this data science course, you will learn about the major components of the Internet of Things and how data is acquired from sensors. You will also examine ways of analyzing event data, sentiment analysis, facial recognition software and how data generated from devices can be used to make decisions.

This is the third and final course in the three-part Data Science and Analytics XSeries."
Build Your Own iOS App,Coursera,Mobile Development,University of Toronto,English,null,2016-07-04,4,2016-11-01,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/6235/coursera-build-your-own-ios-app,"Financial Planning for Young Adults (FPYA), developed in partnership with the CFP Board, is designed to provide an introduction to basic financial planning concepts for young adults. The FPYA course is organized across seven separate modules, which are intended to be completed at a rate of approximately one week per module. Topics covered include financial goal setting, saving and investing, budgeting, financial risk, borrowing and credit. Because financial planning is such a personal topic, you will be encouraged to define your own financial goals and objectives while we discuss concepts and provide tools which can be applied in helping you reach those goals.
Within each module, you will view a combination of traditional lecture style videos along with video vignettes that introduce financial topics for discussion among participants. The video vignettes provide a unique and exciting component to this course. Each vignette introduces a real-world scenario where financial decisions must be made and financial planning concepts can be applied. You will be challenged to think critically about each scenario and decide how you might come to a resolution if ever faced with a similar situation.
Finally, the course also includes material throughout which is focused on career opportunities in financial planning, including video interviews with actual CFP® professionals and other professionals working in this exciting and growing career area. The final module in the class is devoted to the topic of financial planning as a career.
Syllabus
This course includes seven modules, designed to be completed at a rate of one week per module. The topics for each module are as follows:
Module 1: Setting Financial Goals and Assessing Your Situation
Module 2: Saving Strategies
Module 3: Long-term Savings and Investment
Module 4: Budgeting and Cash Flow Management
Module 5: Risk Management
Module 6: Borrowing and Credit
Module 7: Financial Planning as a Career"
Introduction to Complex Analysis,Coursera,Mathematics,Wesleyan University,English,null,2016-07-04,8,2016-11-29,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/6418/coursera-introduction-to-complex-analysis,"Are you fascinated by Geosciences and willing to take the challenge of predicting the nature and behavior of the Earth subsurface? This is your course!

In a voyage through the Earth, Geoscience: the Earth and its Resources will explore the Earth interior and the processes forming mountains and sedimentary basins. You will understand how the sediments are formed, transported, deposited and deformed.

You will develop knowledge on the behavior of petroleum and water resources.

The course has an innovative approach focusing on key fundamental processes, exploring their nature and quantitative interactions. It will be shown how this acquired knowledge is used to predict the nature and behavior of the Earth subsurface.

This is your ideal first step as a future Geoscientists or professional to upgrade your knowledge in the domain of Earth Sciences."
How to Validate your Startup Idea,Coursera,Entrepreneurship,University of New South Wales,English,null,2016-07-04,6,2016-11-15,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/6449/coursera-how-to-validate-your-startup-idea,"Are you fascinated by Geosciences and willing to take the challenge of predicting the nature and behavior of the Earth subsurface? This is your course!

In a voyage through the Earth, Geoscience: the Earth and its Resources will explore the Earth interior and the processes forming mountains and sedimentary basins. You will understand how the sediments are formed, transported, deposited and deformed.

You will develop knowledge on the behavior of petroleum and water resources.

The course has an innovative approach focusing on key fundamental processes, exploring their nature and quantitative interactions. It will be shown how this acquired knowledge is used to predict the nature and behavior of the Earth subsurface.

This is your ideal first step as a future Geoscientists or professional to upgrade your knowledge in the domain of Earth Sciences."
Keeping up with Change: Issues for the Finance Professional,Coursera,Finance,University of London International Programmes,English,null,2016-07-05,6,2016-11-16,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/5877/coursera-keeping-up-with-change-issues-for-the-finance-professional,"Marketing excellence is a prerequisite for success in any business, from startups to the world’s most established enterprises, yet the art and science of marketing is constantly evolving. Arm yourself with the essential principles and practices of marketing in the digital economy by making this course, taught by Internet consumer shopping expert and Wharton professor David Bell, an indispensable part of your knowledge base.

In this business and management course, you will gain an understanding of how the digital economy works and develop the critical insights necessary to succeed in e-commerce and digital and social media marketing.

The fixed and mobile Internet and related technologies exert a profound influence on how business and social institutions evolve, how they are challenged?and sometimes, even displaced. Companies that were non-existent a few short years ago, including Facebook, LinkedIn, and Uber, have dramatically changed how we interact, communicate and get from point A to B. Even Amazon and Google are relatively “young” by any measure. If you’re an entrepreneur, investor, manager, or student, you need thoughtful approaches to navigate and win in this new environment.

This course is organized around four broad themes and we will use relevant theory and analysis, as well as numerous practical examples to develop our key learning points.

The themes are:

Behavioral foundations for understanding and navigating the new online-offline landscape
New forms of interaction, including formation of networks and reputation building
Tools and principles of digital marketing action including online advertising on fixed and mobile devices
New media platforms and emergence of “organic” celebrities and communities
This course is beneficial to marketing professionals, analysts, entrepreneurs, small business owners, investors, and consumers This course evolved from the University of Pennsylvania’s Wharton School’s very first course on digital marketing and e-commerce."
"Country Level Economics: Policies, Institutions, and Macroeconomic Performance",Coursera,Economics,University of Illinois at Urbana-Champaign,English,null,2016-07-06,4,2016-11-03,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/5404/coursera-country-level-economics-policies-institutions-and-macroeconomic-performance,"In this four week course, you’ll learn how to implement low-latency and streaming Big Data solutions using Hadoop technologies like HBase, Storm, and Spark on Microsoft Azure HDInsight.

Note: To complete the hands-on elements in this course, you will require an Azure subscription and a Windows, Linux, or Mac OS X client computer. You can sign up for a free Azure trial subscription (a valid credit card is required for verification, but you will not be charged for Azure services). Note that the free trial is not available in all regions. It is possible to complete the course and earn a certificate without completing the hands-on practices.

This course is the second in a series that explores big data and advanced analytics techniques with HDInsight; and builds on the batch processing techniques learned in DAT202.1x: Processing Big Data with Hadoop in Azure HDInsight."
Managing the Organization: From Organizational Design to Execution,Coursera,Management & Leadership,University of Illinois at Urbana-Champaign,English,null,2016-07-06,4,2016-11-03,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/5253/coursera-managing-the-organization-from-organizational-design-to-execution,"In this four week course, you’ll learn how to implement low-latency and streaming Big Data solutions using Hadoop technologies like HBase, Storm, and Spark on Microsoft Azure HDInsight.

Note: To complete the hands-on elements in this course, you will require an Azure subscription and a Windows, Linux, or Mac OS X client computer. You can sign up for a free Azure trial subscription (a valid credit card is required for verification, but you will not be charged for Azure services). Note that the free trial is not available in all regions. It is possible to complete the course and earn a certificate without completing the hands-on practices.

This course is the second in a series that explores big data and advanced analytics techniques with HDInsight; and builds on the batch processing techniques learned in DAT202.1x: Processing Big Data with Hadoop in Azure HDInsight."
Firm Level Economics: Markets and Allocations,Coursera,Economics,University of Illinois at Urbana-Champaign,English,null,2016-07-06,4,2016-11-03,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/5247/coursera-firm-level-economics-markets-and-allocations,"In this four week course, you’ll learn how to implement low-latency and streaming Big Data solutions using Hadoop technologies like HBase, Storm, and Spark on Microsoft Azure HDInsight.

Note: To complete the hands-on elements in this course, you will require an Azure subscription and a Windows, Linux, or Mac OS X client computer. You can sign up for a free Azure trial subscription (a valid credit card is required for verification, but you will not be charged for Azure services). Note that the free trial is not available in all regions. It is possible to complete the course and earn a certificate without completing the hands-on practices.

This course is the second in a series that explores big data and advanced analytics techniques with HDInsight; and builds on the batch processing techniques learned in DAT202.1x: Processing Big Data with Hadoop in Azure HDInsight."
Applications of Everyday Leadership,Coursera,Management & Leadership,University of Illinois at Urbana-Champaign,English,null,2016-07-06,4,2016-11-03,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/5250/coursera-applications-of-everyday-leadership,"In this four week course, you’ll learn how to implement low-latency and streaming Big Data solutions using Hadoop technologies like HBase, Storm, and Spark on Microsoft Azure HDInsight.

Note: To complete the hands-on elements in this course, you will require an Azure subscription and a Windows, Linux, or Mac OS X client computer. You can sign up for a free Azure trial subscription (a valid credit card is required for verification, but you will not be charged for Azure services). Note that the free trial is not available in all regions. It is possible to complete the course and earn a certificate without completing the hands-on practices.

This course is the second in a series that explores big data and advanced analytics techniques with HDInsight; and builds on the batch processing techniques learned in DAT202.1x: Processing Big Data with Hadoop in Azure HDInsight."
Country Level Economics: Macroeconomic Variables and Markets,Coursera,Economics,University of Illinois at Urbana-Champaign,English,null,2016-07-06,4,2016-11-03,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/5244/coursera-country-level-economics-macroeconomic-variables-and-markets,"In this four week course, you’ll learn how to implement low-latency and streaming Big Data solutions using Hadoop technologies like HBase, Storm, and Spark on Microsoft Azure HDInsight.

Note: To complete the hands-on elements in this course, you will require an Azure subscription and a Windows, Linux, or Mac OS X client computer. You can sign up for a free Azure trial subscription (a valid credit card is required for verification, but you will not be charged for Azure services). Note that the free trial is not available in all regions. It is possible to complete the course and earn a certificate without completing the hands-on practices.

This course is the second in a series that explores big data and advanced analytics techniques with HDInsight; and builds on the batch processing techniques learned in DAT202.1x: Processing Big Data with Hadoop in Azure HDInsight."
Information Design,Coursera,Design & Creativity,"University of California, San Diego",English,null,2016-07-10,3,2016-10-31,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/2787/coursera-information-design,"Impact your financial decisions and learn how to affect the performance of your unit's profitability and of your organization. In this course gain a basic understanding of finance and accounting concepts to drive your organization's growth. Upon completion of this course, you will have gained general financial knowledge and an in-depth understanding of the impact of your decisions outside your functional area. Content of the course includes selected aspects of finance from a non-financial specialist perspective. Specific topics include: financial analysis; planning, forecasting, and budgeting; cash flow, and strategic financing. This class will be interactive and will require the active involvement of the participants in finance related activities.
Syllabus
Foundations of Finance and Accounting


Costing


Financial Ratios


Valuation"
MOS Transistors,Coursera,Electrical Engineering,Columbia University,English,8-10 hours a week,2016-07-11,11,2016-12-26,,0,0,Upcoming,null,https://www.class-central.com/mooc/547/coursera-mos-transistors,"In this four week course, you’ll learn how to implement low-latency and streaming Big Data solutions using Hadoop technologies like HBase, Storm, and Spark on Microsoft Azure HDInsight.

Note: To complete the hands-on elements in this course, you will require an Azure subscription and a Windows, Linux, or Mac OS X client computer. You can sign up for a free Azure trial subscription (a valid credit card is required for verification, but you will not be charged for Azure services). Note that the free trial is not available in all regions. It is possible to complete the course and earn a certificate without completing the hands-on practices.

This course is the second in a series that explores big data and advanced analytics techniques with HDInsight; and builds on the batch processing techniques learned in DAT202.1x: Processing Big Data with Hadoop in Azure HDInsight."
Lesson Planning with the ELL in Mind,Coursera,Language & Culture,Arizona State University,English,null,2016-07-11,6,2016-11-22,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/4627/coursera-lesson-planning-with-the-ell-in-mind,"In this four-part series, we will explore AP Physics 1 concepts and prepare for the AP Physics 1 Exam in an exciting and entirely new way. Increase your skills ? and your readiness ? for the AP Exam though quality videos, inquiry labs, Hollywood-style Concept Trailers™, Direct Measurement Videos, AP problem-solving sessions and more!

In Part 2: Rotational Motion you will learn how to describe rotational motion with kinematics and how torque alters an object’s state of motion. You will learn about rotational energy and angular momentum, and how their conservation laws affect motion. Gravitational forces between two bodies and the resulting motion will be described, as well as simple harmonic motion. The course will cover these physical concepts through lectures, demonstrations, labs, and problem solving strategies

The enhanced AP Exam Prep PLUS 5 is bundled with the edX Verified Certificate. To get PLUS 5, register for the Verified Certificate. The course instructors will email you with directions for how to receive both the extra exam prep and certificate.

You can view or download the complete College Physics for AP®Courses textbook by going to the Reading Assignments page in this course

 

*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings.

Additional Courses in the Preparing for the AP Physics 1 Exam Sequence

Preparing for the AP* Physics 1 Exam - Part 1: Linear Motion
Preparing for the AP* Physics 1 Exam - Part 3: Electricity & Waves
Preparing for the AP* Physics 1 Exam - Part 4: Exam Prep
*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings."
Advanced Converter Control Techniques,Coursera,Electrical Engineering,University of Colorado Boulder,English,null,2016-07-11,4,2016-11-08,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/5416/coursera-advanced-converter-control-techniques,"In this four week course, you’ll learn how to implement low-latency and streaming Big Data solutions using Hadoop technologies like HBase, Storm, and Spark on Microsoft Azure HDInsight.

Note: To complete the hands-on elements in this course, you will require an Azure subscription and a Windows, Linux, or Mac OS X client computer. You can sign up for a free Azure trial subscription (a valid credit card is required for verification, but you will not be charged for Azure services). Note that the free trial is not available in all regions. It is possible to complete the course and earn a certificate without completing the hands-on practices.

This course is the second in a series that explores big data and advanced analytics techniques with HDInsight; and builds on the batch processing techniques learned in DAT202.1x: Processing Big Data with Hadoop in Azure HDInsight."
Classical papers in molecular genetics,Coursera,Biology,University of Geneva,English,null,2016-07-11,12,2017-01-03,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/5872/coursera-classical-papers-in-molecular-genetics,"Marketing excellence is a prerequisite for success in any business, from startups to the world’s most established enterprises, yet the art and science of marketing is constantly evolving. Arm yourself with the essential principles and practices of marketing in the digital economy by making this course, taught by Internet consumer shopping expert and Wharton professor David Bell, an indispensable part of your knowledge base.

In this business and management course, you will gain an understanding of how the digital economy works and develop the critical insights necessary to succeed in e-commerce and digital and social media marketing.

The fixed and mobile Internet and related technologies exert a profound influence on how business and social institutions evolve, how they are challenged?and sometimes, even displaced. Companies that were non-existent a few short years ago, including Facebook, LinkedIn, and Uber, have dramatically changed how we interact, communicate and get from point A to B. Even Amazon and Google are relatively “young” by any measure. If you’re an entrepreneur, investor, manager, or student, you need thoughtful approaches to navigate and win in this new environment.

This course is organized around four broad themes and we will use relevant theory and analysis, as well as numerous practical examples to develop our key learning points.

The themes are:

Behavioral foundations for understanding and navigating the new online-offline landscape
New forms of interaction, including formation of networks and reputation building
Tools and principles of digital marketing action including online advertising on fixed and mobile devices
New media platforms and emergence of “organic” celebrities and communities
This course is beneficial to marketing professionals, analysts, entrepreneurs, small business owners, investors, and consumers This course evolved from the University of Pennsylvania’s Wharton School’s very first course on digital marketing and e-commerce."
Advanced Linear Models for Data Science 1 : Linear Models,Coursera,Data Science and Big Data,Johns Hopkins University,English,null,2016-07-11,6,2016-11-22,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/6180/coursera-advanced-linear-models-for-data-science-1-linear-models,"The Internet of Things is rapidly growing. It is predicted that more than 25 billion devices will be connected by 2020.

In this data science course, you will learn about the major components of the Internet of Things and how data is acquired from sensors. You will also examine ways of analyzing event data, sentiment analysis, facial recognition software and how data generated from devices can be used to make decisions.

This is the third and final course in the three-part Data Science and Analytics XSeries."
Foundations of Teaching for Learning 4: Curriculum,Coursera,Course Development,Commonwealth Education Trust,English,4-6 hours a week,2016-07-11,6,2016-11-22,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/877/coursera-foundations-of-teaching-for-learning-4-curriculum,"Are you fascinated by Geosciences and willing to take the challenge of predicting the nature and behavior of the Earth subsurface? This is your course!

In a voyage through the Earth, Geoscience: the Earth and its Resources will explore the Earth interior and the processes forming mountains and sedimentary basins. You will understand how the sediments are formed, transported, deposited and deformed.

You will develop knowledge on the behavior of petroleum and water resources.

The course has an innovative approach focusing on key fundamental processes, exploring their nature and quantitative interactions. It will be shown how this acquired knowledge is used to predict the nature and behavior of the Earth subsurface.

This is your ideal first step as a future Geoscientists or professional to upgrade your knowledge in the domain of Earth Sciences."
The World of the String Quartet,Coursera,Music,Curtis Institute of Music,English,2-3 hours a week,2016-07-11,7,2016-11-29,,0,0,Upcoming,null,https://www.class-central.com/mooc/2499/coursera-the-world-of-the-string-quartet,"Chemical reactions underpin the production of pretty much everything in our modern world. But, what is the driving force behind reactions? Why do some reactions occur over geological time scales whilst others are so fast that we need femtosecond-pulsed lasers to study them? Ultimately, what is going on at the atomic level? Discover the answers to such fundamental questions and more on this course in introductory physical chemistry.

The course covers the key concepts of three of the principal topics in first-year undergraduate physical chemistry: thermodynamics, kinetics and quantum mechanics. These three topics cover whether or not reactions occur, how fast they go and what is actually going on at the sub-atomic scale.
Syllabus
Thermodynamics I
This module explores thermodynamic definitions, the zeroth law of thermodynamics and temperature, the first law of thermodynamics and enthalpy, reversible expansion, and heat capacity.

Thermodynamics II
This module explores the second law of thermodynamics and entropy, the second law of thermodynamics and spontaneity, the second law of thermodynamics and equilibrium, the third law of thermodynamics and absolute entropy, and Hess' Law.

Virtual Lab 1: Thermodynamics
This lab allows you to further explore thermodynamics.

Chemical Kinetics I
This module explores the rate of reaction, stoichiometry and order, zero order reactions, first order reactions, second order reactions, determination of reaction order, and effect of temperature on reaction rate.

Chemical Kinetics II
This module explores complex reactions, steady-state approximation, and catalysis.

Virtual Lab 2: Kinetics
This lab allows you to further explore kinetics.

Quantum Chemistry I
This module explores Planck's quantum of energy, particle nature of light, wave nature of matter, Heissenberg's uncertainty principle, the Schr?dinger equation, free particle & the particle in a box, Born's interpretation of the wavefunction, and normalisation of the wavefunction.

Virtual Lab 3: Particle in a Box
This experiment involves the visible absorption spectra of dyes.

Quantum Chemistry II
This module explores hydrogen atoms, hydrogen atom quantum numbers, radial and angular solutions for hydrogenic atoms, and energy levels for hydrogenic atoms.

Virtual Lab 4: Hydrogen Emission Spectroscopy
This lab allows you to further explore quantum chemistry."
"Agriculture, Economics and Nature",Coursera,Environmental Science,University of Western Australia,English,null,2016-07-11,7,2016-11-29,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/3067/coursera-agriculture-economics-and-nature,"In this interdisciplinary course you will learn about the water-related dimensions of environmentally sustainable urbanism. The course features Vancouver, one of the world's leading cities for green design.

Each week, you’ll watch lectures plus a compelling documentary-style video featuring architects, planners, artists, engineers, and academics that have created real-world innovations which link water and sustainability in the built environment. You’ll meet the inspiring founder of the Center for Interactive Research on Sustainability (one of the greenest buildings in North America); visit North America’s largest urban wastewater-to-energy plant; learn from architects designing urban waterscapes as ‘landscape infrastructure’ along Vancouver’s revitalized waterfront; travel along one of North America’s largest revitalized urban streams, which has become a hub for community engagement; and explore the creation of a ‘watershed mind’ with an award-winning poet and artist."
Understanding Russian Economy. Problems of Transition,Coursera,Economics,Higher School of Economics,English,null,2016-07-11,8,2016-12-05,,0,0,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/5948/coursera-understanding-russian-economy-problems-of-transition,"Want to create the next big app, grounded in the needs of real users? Mobile Application Experiences Part 4: Understanding Use will teach you Human Computer Interaction (HCI) methods to understand current behavior in the domain, and then design, develop, and deploy your new application.

This module will explore how people use your mobile application in daily life, over an extended period of time.  You will deploy and run quantitative and qualitative studies of use to understand not only what users are doing, but how and why they are using your application the way that they are.

This course is part of a five-part Mobile Application Experiences series:

21W.789.1x: Mobile Application Experiences Part 1: From a Domain to an App Idea
21W.789.2x: Mobile Application Experiences Part 2: Mobile App Design
21W.789.3x: Mobile Application Experiences Part 3: Building Mobile Apps
21W.789.4x: Mobile Application Experiences Part 4: Understanding Use
21W.789.5x: Mobile Application Experiences Part 5: Reporting Research Findings"
